date_time,hour,weekday,is_rush,actual_traffic_volume,naive_lag1h_pred,naive_lag24h_pred,ml_rf_forecast_pred,naive_lag1h_error,naive_lag1h_abs_error,ml_rf_error,ml_rf_abs_error,ml_rf_squared_error
2018-01-25 21:00:00,21,3,0,2817,3009.0,5616.0,2982.3603303772834,-192.0,192.0,-165.3603303772834,165.3603303772834,27344.03886248431
2018-01-25 21:00:00,21,3,0,2817,2817.0,5177.0,2761.933209346333,0.0,0.0,55.066790653666885,55.066790653666885,3032.3514328947745
2018-01-25 21:00:00,21,3,0,2817,2817.0,5177.0,2747.6733728705008,0.0,0.0,69.32662712949923,69.32662712949923,4806.1812291526185
2018-01-25 22:00:00,22,3,0,2047,2817.0,4525.0,2524.5770496432133,-770.0,770.0,-477.5770496432133,477.5770496432133,228079.8383459162
2018-01-25 22:00:00,22,3,0,2047,2047.0,4525.0,1785.1211708940568,0.0,0.0,261.87882910594317,261.87882910594317,68580.52113389979
2018-01-25 23:00:00,23,3,0,1216,2047.0,4529.0,1338.6814969003294,-831.0,831.0,-122.68149690032942,122.68149690032942,15050.749681705538
2018-01-25 23:00:00,23,3,0,1216,1216.0,4529.0,1103.2341219423458,0.0,0.0,112.76587805765416,112.76587805765416,12716.14325411373
2018-01-26 00:00:00,0,4,0,893,1216.0,4646.0,664.847795166636,-323.0,323.0,228.15220483336395,228.15220483336395,52053.42857032526
2018-01-26 00:00:00,0,4,0,893,893.0,4646.0,562.2512734410435,0.0,0.0,330.7487265589565,330.7487265589565,109394.72012037138
2018-01-26 01:00:00,1,4,0,553,893.0,4866.0,478.4855378009826,-340.0,340.0,74.51446219901737,74.51446219901737,5552.405076808789
2018-01-26 01:00:00,1,4,0,553,553.0,5152.0,381.4528690477982,0.0,0.0,171.54713095220183,171.54713095220183,29428.418137931883
2018-01-26 02:00:00,2,4,0,421,553.0,5720.0,382.8217152376131,-132.0,132.0,38.17828476238691,38.17828476238691,1457.5814273979045
2018-01-26 02:00:00,2,4,0,421,421.0,5720.0,332.41159772619983,0.0,0.0,88.58840227380017,88.58840227380017,7847.905017424643
2018-01-26 03:00:00,3,4,0,480,421.0,6669.0,402.2643866109117,59.0,59.0,77.73561338908831,77.73561338908831,6042.825588977807
2018-01-26 04:00:00,4,4,0,986,480.0,5883.0,825.4872818246718,506.0,506.0,160.51271817532825,160.51271817532825,25764.33269603235
2018-01-26 05:00:00,5,4,0,2821,986.0,5883.0,2750.7441720365528,1835.0,1835.0,70.25582796344725,70.25582796344725,4935.881362829496
2018-01-26 06:00:00,6,4,0,5179,2821.0,4449.0,5506.401914154116,2358.0,2358.0,-327.40191415411573,327.40191415411573,107192.01339177896
2018-01-26 07:00:00,7,4,1,6059,5179.0,4449.0,5932.201572973663,880.0,880.0,126.79842702633687,126.79842702633687,16077.841096353275
2018-01-26 08:00:00,8,4,1,5953,6059.0,4449.0,5549.748037799406,-106.0,106.0,403.2519622005939,403.2519622005939,162612.1450186292
2018-01-26 09:00:00,9,4,1,4939,5953.0,3637.0,5044.3056190518655,-1014.0,1014.0,-105.3056190518655,105.3056190518655,11089.27340389662
2018-01-26 10:00:00,10,4,0,4693,4939.0,3637.0,4544.670913290539,-246.0,246.0,148.32908670946108,148.32908670946108,22001.517964062823
2018-01-26 11:00:00,11,4,0,5029,4693.0,3637.0,4890.969372591288,336.0,336.0,138.03062740871155,138.03062740871155,19052.454102842552
2018-01-26 12:00:00,12,4,0,5401,5029.0,3009.0,5082.132534142363,372.0,372.0,318.8674658576374,318.8674658576374,101676.46078247155
2018-01-26 13:00:00,13,4,0,5380,5401.0,3009.0,5417.818361584545,-21.0,21.0,-37.81836158454462,37.81836158454462,1430.2284729393602
2018-01-26 14:00:00,14,4,0,5464,5380.0,2817.0,5533.960390932898,84.0,84.0,-69.96039093289801,69.96039093289801,4894.456299483918
2018-01-26 15:00:00,15,4,0,5810,5464.0,2817.0,5892.392216059831,346.0,346.0,-82.3922160598313,82.3922160598313,6788.477267249923
2018-01-26 16:00:00,16,4,0,6561,5810.0,2817.0,6219.548275661678,751.0,751.0,341.4517243383216,341.4517243383216,116589.28005361315
2018-01-26 17:00:00,17,4,1,5829,6561.0,2047.0,6035.691926796186,-732.0,732.0,-206.69192679618573,206.69192679618573,42721.5526027198
2018-01-26 18:00:00,18,4,1,4811,5829.0,2047.0,4699.84665768045,-1018.0,1018.0,111.15334231954967,111.15334231954967,12355.06550880699
2018-01-26 19:00:00,19,4,1,3638,4811.0,1216.0,3610.755430761201,-1173.0,1173.0,27.24456923879916,27.24456923879916,742.2665530077213
2018-01-26 20:00:00,20,4,0,3465,3638.0,1216.0,3101.958871931576,-173.0,173.0,363.04112806842386,363.04112806842386,131798.86066919373
2018-01-26 21:00:00,21,4,0,3215,3465.0,893.0,3136.9947473383077,-250.0,250.0,78.00525266169234,78.00525266169234,6084.81944281446
2018-01-26 22:00:00,22,4,0,2637,3215.0,893.0,2893.8843306857043,-578.0,578.0,-256.8843306857043,256.8843306857043,65989.55935184228
2018-01-26 23:00:00,23,4,0,1841,2637.0,553.0,1883.9282555401483,-796.0,796.0,-42.92825554014826,42.92825554014826,1842.8351237202694
2018-01-27 00:00:00,0,5,0,1121,1841.0,553.0,1225.0284366228307,-720.0,720.0,-104.02843662283067,104.02843662283067,10821.915626190297
2018-01-27 01:00:00,1,5,0,672,1121.0,421.0,716.9135728144541,-449.0,449.0,-44.91357281445414,44.91357281445414,2017.229022959274
2018-01-27 02:00:00,2,5,0,476,672.0,421.0,583.1438445288885,-196.0,196.0,-107.14384452888851,107.14384452888851,11479.803420430631
2018-01-27 03:00:00,3,5,0,373,476.0,480.0,385.5365389450375,-103.0,103.0,-12.536538945037478,12.536538945037478,157.16480872044139
2018-01-27 04:00:00,4,5,0,449,373.0,986.0,398.174834029693,76.0,76.0,50.82516597030701,50.82516597030701,2583.197495909254
2018-01-27 05:00:00,5,5,0,753,449.0,2821.0,781.4051773760245,304.0,304.0,-28.40517737602454,28.40517737602454,806.8541017634163
2018-01-27 06:00:00,6,5,0,1378,753.0,5179.0,1402.3040477058964,625.0,625.0,-24.304047705896437,24.304047705896437,590.6867348904899
2018-01-27 07:00:00,7,5,1,2158,1378.0,6059.0,2064.7841189085048,780.0,780.0,93.21588109149525,93.21588109149525,8689.200487663782
2018-01-27 08:00:00,8,5,1,2848,2158.0,5953.0,3107.4694927241035,690.0,690.0,-259.4694927241035,259.4694927241035,67324.41765450359
2018-01-27 09:00:00,9,5,1,3629,2848.0,4939.0,3547.4717673721116,781.0,781.0,81.52823262788843,81.52823262788843,6646.852715427091
2018-01-27 10:00:00,10,5,0,4325,3629.0,4693.0,3918.247959106573,696.0,696.0,406.75204089342697,406.75204089342697,165447.22277096807
2018-01-27 11:00:00,11,5,0,4896,4325.0,5029.0,4518.465590992891,571.0,571.0,377.5344090071094,377.5344090071094,142532.22998434736
2018-01-27 12:00:00,12,5,0,5344,4896.0,5401.0,5022.781172272941,448.0,448.0,321.21882772705885,321.21882772705885,103181.53528634591
2018-01-27 13:00:00,13,5,0,5304,5344.0,5380.0,5308.171593945397,-40.0,40.0,-4.171593945397035,4.171593945397035,17.4021960452732
2018-01-27 14:00:00,14,5,0,5132,5304.0,5464.0,4946.090619410571,-172.0,172.0,185.90938058942902,185.90938058942902,34562.29779114517
2018-01-27 15:00:00,15,5,0,5407,5132.0,5810.0,4893.070387452917,275.0,275.0,513.9296125470828,513.9296125470828,264123.6466527946
2018-01-27 16:00:00,16,5,0,5460,5407.0,6561.0,5406.593381237115,53.0,53.0,53.406618762885046,53.406618762885046,2852.2669276841452
2018-01-27 17:00:00,17,5,1,5182,5460.0,5829.0,5286.8800075095205,-278.0,278.0,-104.88000750952051,104.88000750952051,10999.815975197078
2018-01-27 18:00:00,18,5,1,5052,5182.0,4811.0,4520.034474425276,-130.0,130.0,531.9655255747239,531.9655255747239,282987.32039999217
2018-01-27 19:00:00,19,5,1,4090,5052.0,3638.0,3707.8792659592414,-962.0,962.0,382.12073404075863,382.12073404075863,146016.25538384818
2018-01-27 20:00:00,20,5,0,3584,4090.0,3465.0,3087.3417524514493,-506.0,506.0,496.65824754855066,496.65824754855066,246669.41485799744
2018-01-27 21:00:00,21,5,0,3350,3584.0,3215.0,3227.941647827769,-234.0,234.0,122.05835217223103,122.05835217223103,14898.241335000374
2018-01-27 22:00:00,22,5,0,3070,3350.0,2637.0,3234.3096609486006,-280.0,280.0,-164.3096609486006,164.3096609486006,26997.664681044083
2018-01-27 23:00:00,23,5,0,2033,3070.0,1841.0,2182.6617792853312,-1037.0,1037.0,-149.66177928533125,149.66177928533125,22398.648178851206
2018-01-28 00:00:00,0,6,0,1260,2033.0,1121.0,1307.8376280871635,-773.0,773.0,-47.837628087163466,47.837628087163466,2288.438661005771
2018-01-28 01:00:00,1,6,0,791,1260.0,672.0,806.0764462697248,-469.0,469.0,-15.076446269724784,15.076446269724784,227.29923212389835
2018-01-28 02:00:00,2,6,0,653,791.0,476.0,592.6147861341789,-138.0,138.0,60.38521386582113,60.38521386582113,3646.374053620956
2018-01-28 03:00:00,3,6,0,444,653.0,373.0,427.9793878944862,-209.0,209.0,16.020612105513806,16.020612105513806,256.6600122353355
2018-01-28 04:00:00,4,6,0,395,444.0,449.0,439.8301052962426,-49.0,49.0,-44.83010529624261,44.83010529624261,2009.7383408721994
2018-01-28 05:00:00,5,6,0,643,395.0,753.0,587.198945172555,248.0,248.0,55.801054827445,55.801054827445,3113.7577198555227
2018-01-28 06:00:00,6,6,0,1058,643.0,1378.0,1037.5638207536051,415.0,415.0,20.436179246394886,20.436179246394886,417.637422190781
2018-01-28 07:00:00,7,6,1,1666,1058.0,2158.0,1387.023843865175,608.0,608.0,278.97615613482503,278.97615613482503,77827.69569176227
2018-01-28 08:00:00,8,6,1,2314,1666.0,2848.0,2398.7456107304465,648.0,648.0,-84.74561073044651,84.74561073044651,7181.818538076372
2018-01-28 09:00:00,9,6,1,3024,2314.0,3629.0,3152.7315184613963,710.0,710.0,-128.73151846139626,128.73151846139626,16571.803845376806
2018-01-28 10:00:00,10,6,0,3564,3024.0,4325.0,3560.769351309405,540.0,540.0,3.2306486905949896,3.2306486905949896,10.43709096204312
2018-01-28 11:00:00,11,6,0,4065,3564.0,4896.0,3881.7444819695975,501.0,501.0,183.25551803040253,183.25551803040253,33582.584888591184
2018-01-28 12:00:00,12,6,0,4506,4065.0,5344.0,4290.401987590596,441.0,441.0,215.59801240940396,215.59801240940396,46482.50295488551
2018-01-28 12:00:00,12,6,0,4506,4506.0,5304.0,4644.76043577634,0.0,0.0,-138.76043577634027,138.76043577634027,19254.458536839855
2018-01-28 13:00:00,13,6,0,4784,4506.0,5132.0,4633.032916708433,278.0,278.0,150.96708329156718,150.96708329156718,22791.060237562982
2018-01-28 14:00:00,14,6,0,4895,4784.0,5407.0,4747.078642448522,111.0,111.0,147.92135755147774,147.92135755147774,21880.72801987212
2018-01-28 15:00:00,15,6,0,4801,4895.0,5460.0,4756.004286732598,-94.0,94.0,44.9957132674017,44.9957132674017,2024.6142124422292
2018-01-28 16:00:00,16,6,0,4716,4801.0,5182.0,4756.516972349499,-85.0,85.0,-40.516972349499156,40.516972349499156,1641.6250483700792
2018-01-28 17:00:00,17,6,1,4535,4716.0,5052.0,4466.392684034466,-181.0,181.0,68.60731596553433,68.60731596553433,4706.963803994661
